Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss
1,1.3745440178610422,0.6530969703968895,0.0,0.642774655477712,0.0,1.2670495414675162
2,1.2447563792519234,0.6530969703968895,0.0,0.642774655477712,0.0,1.2621241796559888
3,1.2416979496280107,0.6530969703968895,0.0,0.642774655477712,0.0,1.2596554741483603
4,1.238182198595751,0.6530969703968895,0.0,0.642774655477712,0.0,1.2549223984256754
5,1.2346951920410683,0.6530969703968895,0.0,0.642774655477712,0.0,1.252763143680953
6,1.2312029554632498,0.6530969703968895,0.0,0.642774655477712,0.0,1.2465669715345786
7,1.2273628748035783,0.6530969703968895,0.0,0.642774655477712,0.0,1.2409487683050737
8,1.2239568662632423,0.6530969703968895,0.0,0.642774655477712,0.0,1.238932860015061
9,1.219414319430152,0.6530969703968895,0.0,0.642774655477712,0.0,1.2309506176580935
10,1.2141908019542547,0.6530969703968895,0.0,0.642774655477712,0.0,1.2317084444714297
11,1.2103753021087846,0.6530969703968895,0.0,0.642774655477712,0.0,1.2303431776944052
12,1.206286131500684,0.6530969703968895,0.0,0.642774655477712,0.0,1.220275332554808
13,1.202874579113619,0.6530969703968895,0.0,0.642774655477712,0.0,1.216286606058992
14,1.1986412913102675,0.6530969703968895,0.0,0.642774655477712,0.0,1.2239154434850064
15,1.1945583244115847,0.6530969703968895,0.0,0.642774655477712,0.0,1.209018836541129
16,1.191245801324768,0.6530969703968895,0.0,0.642774655477712,0.0,1.2082535265921959
17,1.188903369633435,0.6530969703968895,0.0,0.642774655477712,0.0,1.2078974508299616
18,1.18822214610214,0.6530969703968895,0.0,0.642774655477712,0.0,1.2016063719767656
19,1.1871532415191235,0.6530969703968895,0.0,0.642774655477712,0.0,1.2035968606107927
20,1.1862363141176884,0.6530777226007622,0.0,0.642774655477712,0.0,1.2028851525610305
21,1.1855937870577198,0.6528659968433614,0.0,0.642774655477712,0.0,1.2045109863645338
22,1.183315858960592,0.6530969703968895,0.0,0.642774655477712,0.0,1.2120165604675932
23,1.1821174158306398,0.6530584748046349,0.0,0.642774655477712,0.0,1.2038209737448269
24,1.1813074641498587,0.6529622358239981,0.0,0.642774655477712,0.0,1.1992741767408812
25,1.1796129718973425,0.6530969703968895,0.0,0.642774655477712,0.0,1.198412286971003
26,1.1804602973878824,0.6530969703968895,0.0,0.642774655477712,0.0,1.2006609744479504
27,1.1782388065946219,0.6530969703968895,0.0,0.642774655477712,0.0,1.2001933760463899
28,1.1770954750423215,0.6525965276975786,0.0,0.6425436908153053,0.0,1.2119976837793593
29,1.1755472848402897,0.6525002887169419,0.0,0.6422357379320964,0.0,1.2022779368855097
30,1.1758740961258047,0.6530969703968895,0.0,0.642774655477712,0.0,1.2043354901040129
31,1.1741180717761588,0.652673518882088,0.0,0.642774655477712,0.0,1.1970756886334255
32,1.173783073210951,0.6530969703968895,0.0,0.642774655477712,0.0,1.1958098026552224
33,1.1728813372864364,0.6530969703968895,0.0,0.642774655477712,0.0,1.190908240640692
34,1.1716730125303485,0.6530969703968895,0.0,0.642774655477712,0.0,1.1963848105351913
35,1.170543474544372,0.6530969703968895,0.0,0.642774655477712,0.0,1.1966758757242428
36,1.169646286382684,0.6530969703968895,0.0,0.642774655477712,0.0,1.1939233780788083
37,1.169587402113626,0.6530969703968895,0.0,0.642774655477712,0.0,1.1955971891069648
38,1.1695071011598182,0.6530969703968895,0.0,0.642774655477712,0.0,1.1965572456714555
39,1.1678740037375777,0.6530969703968895,0.0,0.642774655477712,0.0,1.1952657685638062
40,1.1676671706195094,0.6530969703968895,0.0,0.642774655477712,0.0,1.1899030014799146
41,1.1664708902866676,0.6530969703968895,0.0,0.642774655477712,0.0,1.190999846630202
42,1.165076127266649,0.6530969703968895,0.0,0.642774655477712,0.0,1.19731182850934
43,1.165971799134254,0.6530007314162528,0.0,0.642774655477712,0.0,1.1906928076899697
44,1.1642293685615943,0.6530969703968895,0.0,0.642774655477712,0.0,1.1991282445309785
45,1.1642189517231851,0.652789005658852,0.0,0.642774655477712,0.0,1.190785594541451
46,1.1650485507868633,0.6530777226007622,0.0,0.642774655477712,0.0,1.1876614487229897
47,1.1624393971095532,0.6526350232898334,0.0,0.6426976672569097,0.0,1.1852594501719687
48,1.16133984625156,0.6530969703968895,0.0,0.642774655477712,0.0,1.191271244305108
49,1.1622391649673285,0.6525965276975786,0.0,0.6425436908153053,0.0,1.1868373298366082
50,1.1606635254775655,0.6530392270085075,0.0,0.642774655477712,0.0,1.1904381204194623
