Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss
1,1.3580067679653027,0.6530969703968895,0.0,0.642774655477712,0.0,1.2472486668472806
2,1.2239255566939051,0.6530969703968895,0.0,0.642774655477712,0.0,1.240630130095435
3,1.218758522317254,0.6530969703968895,0.0,0.642774655477712,0.0,1.239445908683274
4,1.2159957009381408,0.6530969703968895,0.0,0.642774655477712,0.0,1.2337128903551642
5,1.2139779006227338,0.6530969703968895,0.0,0.642774655477712,0.0,1.2332286500725254
6,1.2120077388884105,0.6530969703968895,0.0,0.642774655477712,0.0,1.2281745503395063
7,1.2105757350680129,0.6530969703968895,0.0,0.642774655477712,0.0,1.23019302280372
8,1.2096247385930399,0.6530969703968895,0.0,0.642774655477712,0.0,1.2265637933914297
9,1.2069626130402236,0.6530969703968895,0.0,0.642774655477712,0.0,1.2250026034677557
10,1.2068643298532282,0.6530969703968895,0.0,0.642774655477712,0.0,1.2335539380171028
11,1.2054896730507536,0.6530969703968895,0.0,0.642774655477712,0.0,1.2227188004868959
12,1.2038663765736695,0.6530969703968895,0.0,0.642774655477712,0.0,1.2220777756181256
13,1.2022379342503295,0.6530969703968895,0.0,0.642774655477712,0.0,1.2251473571279365
14,1.2021907220589998,0.6530969703968895,0.0,0.642774655477712,0.0,1.220959691725341
15,1.200934042264088,0.6530969703968895,0.0,0.642774655477712,0.0,1.2200637812097672
16,1.199162654954885,0.6530969703968895,0.0,0.642774655477712,0.0,1.2159774199935602
17,1.198765170709987,0.6530969703968895,0.0,0.642774655477712,0.0,1.2212913331800495
18,1.1989322390333919,0.6530969703968895,0.0,0.642774655477712,0.0,1.2273038635259779
19,1.1986021972330185,0.6530969703968895,0.0,0.642774655477712,0.0,1.2152041955094033
20,1.1990734147724553,0.6530969703968895,0.0,0.642774655477712,0.0,1.2170823176799737
21,1.1969209016929265,0.6530969703968895,0.0,0.642774655477712,0.0,1.2153556780348271
22,1.1965106763954967,0.6530969703968895,0.0,0.642774655477712,0.0,1.217113769149839
23,1.1966373539286588,0.6530969703968895,0.0,0.642774655477712,0.0,1.211832805183427
24,1.1969182538923813,0.6530969703968895,0.0,0.642774655477712,0.0,1.2109071664475455
25,1.1951190865612382,0.6530969703968895,0.0,0.642774655477712,0.0,1.212245041036547
26,1.1947646152521736,0.6530969703968895,0.0,0.642774655477712,0.0,1.21302634580382
27,1.1945654476804686,0.6530969703968895,0.0,0.642774655477712,0.0,1.2120167869946052
28,1.1948125690515405,0.6530969703968895,0.0,0.642774655477712,0.0,1.2102784246866927
29,1.1937641224690847,0.6530969703968895,0.0,0.642774655477712,0.0,1.214361311913711
30,1.193728481607484,0.6530969703968895,0.0,0.642774655477712,0.0,1.2103527404478032
31,1.1922581884918249,0.6530969703968895,0.0,0.642774655477712,0.0,1.216281057835506
32,1.1941362413683254,0.6530969703968895,0.0,0.642774655477712,0.0,1.2100694573351316
33,1.1932725486405231,0.6530969703968895,0.0,0.642774655477712,0.0,1.2073329897423095
34,1.191943349298365,0.6530969703968895,0.0,0.642774655477712,0.0,1.2059327367271109
35,1.1924728798436854,0.6530969703968895,0.0,0.642774655477712,0.0,1.2076668847590832
36,1.1913233409300814,0.6530969703968895,0.0,0.642774655477712,0.0,1.2069712073858736
37,1.1913805289349972,0.6530969703968895,0.0,0.642774655477712,0.0,1.2078789132716032
38,1.1908342481999121,0.6530969703968895,0.0,0.642774655477712,0.0,1.2082904384200797
39,1.1898389237708058,0.6530969703968895,0.0,0.642774655477712,0.0,1.2047896799929623
40,1.1886993586613332,0.6530969703968895,0.0,0.642774655477712,0.0,1.206147943150821
41,1.1896292694610329,0.6530969703968895,0.0,0.642774655477712,0.0,1.2026023960539274
42,1.1891604175543404,0.6530969703968895,0.0,0.642774655477712,0.0,1.2040666282323782
43,1.1878111594875018,0.6530969703968895,0.0,0.642774655477712,0.0,1.2029335597539184
44,1.1884858550990156,0.6530969703968895,0.0,0.642774655477712,0.0,1.2045736111737237
45,1.1872935007083152,0.6530969703968895,0.0,0.642774655477712,0.0,1.2036638298792204
46,1.187291043998646,0.6530969703968895,0.0,0.642774655477712,0.0,1.2024953683535453
47,1.1868748835154943,0.6530969703968895,0.0,0.642774655477712,0.0,1.202641294764474
48,1.1855454329456308,0.6530969703968895,0.0,0.642774655477712,0.0,1.2008534138058793
49,1.184771937974201,0.6530969703968895,0.0,0.642774655477712,0.0,1.199171131320775
50,1.18425457987916,0.6530969703968895,0.0,0.642774655477712,0.0,1.201016467560101
