Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss,Min Class F1,Max Class F1
1,2.2289648961849964,0.2442160372637333,0.10563242643775406,0.24243590730618214,0.1047653841659689,1.9800539084255988,0.0,0.3917878528656972
2,2.03731246233841,0.1433190899641991,0.10007403478410966,0.14373700823773963,0.0980575356509861,2.050569396300856,0.0,0.2584373555247342
3,1.9319391280519493,0.09263964276090388,0.07235134916821968,0.09130802987142968,0.0694794534399932,2.105338187053286,0.0,0.24888691006233304
4,1.8703586513993276,0.14395426723640142,0.09543760603986279,0.14342905535453077,0.09295820827952381,2.0273699349370498,0.0,0.29721854304635764
5,1.8289437501946089,0.13282904107479693,0.09942616292490483,0.1306490107013627,0.09291001203991525,1.905433782509395,0.0,0.24549501801992793
6,1.8037377409325421,0.23813373368749277,0.13004423370587387,0.23519901455077374,0.12790836960380284,1.707732807239288,0.0,0.3668228678537957
7,1.758358880895298,0.18048658428609923,0.12035658529777797,0.18384787127569482,0.12140907908342129,1.9346811263432055,0.0,0.3388010736653743
8,1.7390228873085378,0.194652962235824,0.12639625464869214,0.19593502194164292,0.12962281142124216,1.8571430324333642,0.004770423375074538,0.3333333333333333
9,1.710006308811967,0.18449012588058666,0.11804196114172136,0.1788436369235507,0.11171752990016603,1.9870814405051358,0.0,0.3652230122818358
10,1.67144427162772,0.2687377295299688,0.17050323101834094,0.2688428670413427,0.16924887422361698,1.8229515352859873,0.0,0.42021713347322326
11,1.6519657698156158,0.24498594910882704,0.15249239647893115,0.24282084841019325,0.15096096324347796,1.794597942840877,0.020631850419084462,0.39344262295081966
12,1.639624158968635,0.25099126150055817,0.1594487410953775,0.24628531834629303,0.15642469864413727,1.780881413685277,0.0035863717872086074,0.38975424022152994
13,1.6124236761740316,0.22439080725256957,0.15773499396596932,0.22134113480637463,0.15430633257574713,1.8809740848729175,0.019368723098995694,0.40186915887850466
14,1.6041549400759143,0.2729145012896023,0.1851815576457329,0.26699514974208943,0.18151056156357628,1.8039478289669957,0.017513134851138354,0.4653421633554084
15,1.576256085752444,0.25537975901759247,0.16789202486672186,0.2547540226345369,0.16798297618715627,1.7345605933020267,0.022319649262654444,0.3888121546961326
16,1.5622112457612651,0.2489124995188051,0.16921808227643634,0.2425898837477866,0.16356612699992232,1.6895442563911964,0.020777222008464793,0.43745019920318723
17,1.5250005685015533,0.288254994803095,0.19847269137433893,0.2813919470321041,0.1948335557436052,1.5876699159004417,0.01888888888888889,0.42884990253411304
18,1.5041332843055861,0.3461716133502714,0.2185678325785258,0.33690045423050274,0.21317484918139526,1.3997135034629278,0.020242914979757085,0.5257152445674973
19,1.4740928455635354,0.3887092427917003,0.23581838779525185,0.37924397567172224,0.23272360425087832,1.278624052337825,0.015056461731493099,0.5447087776866284
20,1.4161279594599132,0.4212765138391654,0.24196111284438135,0.41173300485025793,0.23178293244959006,1.1585661002567835,0.0,0.5702881775365212
21,1.3419297485653503,0.4392732032182315,0.2155476930197227,0.43021017784279003,0.20558272715095774,1.0095066194757452,0.0,0.6060991105463787
22,1.2608889612673004,0.42420217885052164,0.16239402249519624,0.4165062745399954,0.161307199815006,1.0290003003451624,0.0,0.581990664056618
23,1.1696043218193373,0.4340378026715941,0.11517055252805727,0.42674570790669025,0.11394074144577923,1.0729668064070452,0.0,0.6000424658503787
24,1.0719990646255202,0.4036647803826462,0.1014890091224782,0.3961043960274078,0.09997119667893226,1.255324317757132,0.0,0.5636472168333084
25,1.014797218277463,0.40551256881087117,0.09437746183211462,0.3996458541843098,0.09472235289347941,1.400109719246479,0.0,0.570205226635169
26,0.9873445401482257,0.4129422181160257,0.09811893851574818,0.4084225113557626,0.10030537767540086,1.5528266371911383,0.0,0.5785111951148589
27,0.9371401768004168,0.46664356931131384,0.09922100425639278,0.4553083378243129,0.0985176391718649,1.7467851568325399,0.0,0.6339140079598095
28,0.9203314299794223,0.3525618816645494,0.0828015491776862,0.34829471090923086,0.08205702252910049,1.9538026257541967,0.0,0.4893479664299548
29,0.8912179629577673,0.38258844362320515,0.08804451342686505,0.3783201170220956,0.0883823499382364,2.0206293918816325,0.0,0.535708800491476
30,0.8944651195367747,0.351137544751126,0.0825612338193022,0.34867965201324197,0.08261335179167736,2.174018315126743,0.0,0.48895005261879704
31,0.857517869526625,0.6117911999076106,0.09840558163572112,0.6022788513357457,0.09846862890149297,2.2375272969013364,0.0,0.7588502269288956
32,0.8512831754724327,0.49474535165723527,0.09836898610009887,0.4816383093386712,0.0958126212594345,2.3362550270087614,0.0,0.6605029585798816
33,0.8503223650486809,0.38818955229626206,0.08588926366132542,0.382708445607822,0.0857012264788312,2.4845458768271462,0.0,0.5404178019981835
34,0.8397465229675334,0.4407937791122916,0.09572567893931615,0.43290476557086766,0.09314143252927723,2.4422650758562416,0.0,0.6054356733133024
35,0.8329712617497006,0.5126842976479193,0.09720219114461084,0.5018092231888521,0.0955912955496519,2.6430553621406037,0.0,0.6800047636060498
36,0.8243372848384269,0.4013165492551103,0.08642402636104549,0.3971822311186389,0.087158652570947,2.6431586608804505,0.0,0.5616478956727919
37,0.8034312023626576,0.3527736074219502,0.07996925258075828,0.35045038109169296,0.0797801571893276,2.642701429686523,0.0,0.4924046541693601
38,0.8033611085110098,0.5135696962697771,0.10081907767797008,0.5035799522673031,0.09996215714491387,2.7055571894780757,0.0,0.6812883066939069
39,0.7878378957616813,0.5441544443161258,0.09961396723289735,0.5316036646393102,0.09905276275156374,2.743510422741838,0.0,0.7071465120245608
40,0.7884820561896089,0.44795395927166337,0.09355242037984862,0.43860189391023174,0.09303570457260166,2.7909218153636446,0.0,0.6123027114528531
41,0.784804269048333,0.4581552912191554,0.09339783266981645,0.4527677265378397,0.09386220037462592,2.884342006054418,0.0,0.627406718895233
42,0.7589402775610646,0.4958039804442391,0.09636531818574062,0.48825929632766185,0.09627299512185174,2.9022976427242675,0.0,0.6659246892969765
43,0.7589403023429242,0.43224775763175116,0.09053874093461609,0.4272846254523058,0.09144085863198678,2.9676656448488754,0.0,0.5967167307020608
44,0.7526530095753277,0.5455787812295492,0.09848634508329414,0.5370698283162676,0.09853349581929706,3.013820004727453,0.0,0.7104964860575833
45,0.738363194138061,0.3524078992955307,0.07922262149252493,0.34837169913003313,0.07954782199652019,3.0518325264817974,0.0,0.48359128109553523
46,0.7365958578484033,0.6029757092812873,0.09721559039793526,0.5907306182154131,0.0962639096165093,3.0357292998453667,0.0,0.7500510933987329
