Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss,Min Class F1,Max Class F1
1,1.7278174895680312,0.003445355506794472,0.0006869027974979854,0.00392639926091308,0.0007823885863312112,3.5201130750144056,0.0,0.007823885863312112
2,1.6844591349363327,0.005524117488547561,0.002252695647833042,0.004234352144121949,0.0017822169674681823,3.449334321644506,0.0,0.010964467005076143
3,1.647713428645423,0.005427878507910844,0.006241090389157736,0.0043883285857263836,0.006604610065541449,3.1076592902831845,0.0,0.05
4,1.6164467379902347,0.005658852061438965,0.007056390625208546,0.005158210793748556,0.009213210659485164,3.4065178747247593,0.0,0.03954802259887006
5,1.5987293020342335,0.01976748662278169,0.020251664561131873,0.019247055200554315,0.018565094159854297,3.106999275425972,0.0,0.09286463798530954
6,1.575659267604351,0.019805982215036377,0.025528330629675505,0.01824620833012549,0.02361405444956524,3.110790412120631,0.0,0.10637495284798189
7,1.562923723775329,0.014281864726488817,0.023662215322708735,0.012780044653168066,0.022252179029238765,3.181190018583401,0.0,0.12360289283366206
8,1.5488251562822948,0.01676483042691612,0.019503187215203433,0.016706443914081145,0.019365049180926547,3.4217767750688375,0.0,0.10959911732254506
9,1.5229965170676059,0.017938945990684067,0.030909176311813495,0.017322349680498884,0.03074833989142427,3.1642841526440213,0.0,0.15426251691474965
10,1.5023254478971164,0.024425453285598798,0.03783123886552305,0.02448225421510509,0.0367218473595299,3.233023928891262,0.0,0.17313812858052197
11,1.5198534234906689,0.033067713746775994,0.04885204398992215,0.031950111632920164,0.047961895362156726,3.197638106757197,0.0,0.2145536384096024
12,1.502723885305,0.05310466951534049,0.060751766737209736,0.05050427284625452,0.05884471057191506,2.9464092583491883,0.0,0.21451787648970747
13,1.484855034586155,0.02407899295530662,0.04711745990321249,0.02417430133189622,0.04788855890131362,3.3023878500379364,0.0,0.23446105428796224
14,1.4823579842394048,0.04638718866689764,0.0649766501982718,0.04442220340287936,0.06229545077577694,2.964233621587894,0.0,0.22114997989545637
15,1.4661923632251495,0.054836971166801404,0.06700595565602785,0.05158210793748556,0.061274014064214864,2.8969492110712776,0.0,0.21787709497206703
16,1.4554488993052281,0.05637679485698888,0.06924301315127387,0.053583801678343215,0.06393259345825612,2.9067576847640164,0.0,0.2549852893102321
17,1.4437740205815344,0.04251838164530161,0.07072456435543858,0.040649780583570716,0.06786155614310621,3.1484439772338115,0.0,0.3080568720379147
18,1.441960387496334,0.04348077145166879,0.06940208375234913,0.04172761567480176,0.06559816008929345,3.1410490027789413,0.0,0.26653102746693796
19,1.4426300018800027,0.06038033645147631,0.08032712064960465,0.057972130264069596,0.07744475699527828,2.9078303596069075,0.0,0.3008994276369583
20,1.430192616062634,0.05758940601301151,0.07557244696361906,0.05419970744476095,0.07058963623392926,2.8758189073337124,0.0,0.25394495412844037
21,1.4312198561700908,0.05529891827385764,0.07552407326462972,0.05212102548310109,0.07140809559682226,3.0537805624783334,0.0,0.2608695652173913
22,1.4125347296622666,0.06784848134888555,0.08206484200697099,0.06482408191546693,0.07871955432097047,2.7828797718574263,0.0,0.2978580990629183
23,1.409247707688447,0.0596681679947646,0.08080595337485495,0.05643236584802525,0.07638043639361589,2.8688779960712187,0.0,0.3004577611319184
