Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss,Min Class F1,Max Class F1
1,3.328595639073601,0.05578011317704123,0.027528679541889978,0.05512356609438756,0.026147814621119436,3.2703656222432707,0.0,0.11027568922305764
2,3.29667680373706,0.18612618855141086,0.0556761134973008,0.18438678882131035,0.05564712629887475,3.204777659453782,0.0,0.33786334465836165
3,3.279363196086181,0.19442198868229588,0.059277293113650896,0.19631996304565402,0.06045812568767015,3.2523030565290028,0.0,0.350617746162486
4,3.264721209142165,0.3222081071717288,0.08336165894230455,0.31372699976903534,0.08158265700716305,3.1560374292834052,0.0,0.5538573508005823
5,3.2519572945305426,0.2629248950995111,0.08387011394892488,0.25675571637539457,0.08183058242070805,3.1993829111747556,0.0,0.47663702506063055
6,3.2454600458726417,0.29543442275859416,0.0788815164931184,0.2897066748787436,0.07881801845231637,3.1063314006833607,0.0,0.5212749733109654
7,3.2320098129599506,0.2817107441197983,0.07528376919011773,0.27754253599199324,0.0759209428251183,3.1118203146117076,0.0,0.5104498484966203
8,3.2235687120760836,0.29553066173923087,0.07608314331826756,0.28885980444991916,0.07427442716738426,3.1520738633982655,0.0,0.5297444017190681
9,3.2157273407518985,0.2721445894445086,0.07640495287694114,0.26768804372930943,0.07654444351183504,3.116043179493232,0.0,0.4912670689107653
10,3.2189823897669,0.25274281094814643,0.07415408488117188,0.24959581184078836,0.07352141774593537,3.189502979440642,0.0,0.4657825802226588
11,3.2102654186256445,0.22793240174000076,0.08094131027758311,0.22418969897605667,0.08051549974547637,3.274950218318131,0.0,0.4331710649927406
12,3.2045232963817516,0.29127689879508795,0.07829901010023822,0.2853953345138194,0.07820363136514843,3.084186867246487,0.0,0.5127570743776094
13,3.201387279079971,0.22571890518535628,0.07067763691207267,0.2230348756640234,0.070534693307036,3.2166647676176625,0.0,0.4237860296027006
14,3.199981404724172,0.23717134388112562,0.07865698667615544,0.2341211794595427,0.07928721092021966,3.2716468387636644,0.0,0.45163447872251483
15,3.201495394000892,0.23199368672287024,0.06788486658238624,0.22811609823696974,0.06801829435240095,3.259879539752829,0.0,0.44716949437258524
16,3.2039771891247084,0.19675097201370442,0.06526926922404987,0.19716683347447841,0.06537493296163648,3.2216321403169865,0.0,0.3669336279112584
17,3.185861579380176,0.2789775570697155,0.07595024161737837,0.27361613673108015,0.07814759917791661,3.123084750962375,0.0,0.5091617933723197
18,3.194176251506614,0.23484236054971705,0.06845873927991925,0.23065670952344292,0.06899580474510456,3.267235776473736,0.0,0.4489350997819889
19,3.1859798463334674,0.2205027524348462,0.07296247724197849,0.21702979444145046,0.07251538771758223,3.2324015251521407,0.0,0.4157225030503748
20,3.190782857436265,0.16864918966778303,0.06151348780333486,0.16922010932327353,0.061333058896600935,3.3974053017024337,0.0,0.3283952977157603
21,3.1865083540515937,0.2289140393424953,0.0714483642487804,0.22457464008006775,0.07025175972359868,3.2468397429423965,0.0,0.431658377636769
22,3.1703330973850665,0.2224467798437079,0.06825567618150047,0.22003233505273692,0.0686242336775131,3.281040789164933,0.0,0.430055817947617
23,3.192135259758604,0.1968664587904685,0.06543593950449234,0.19454923396720303,0.06460592453454388,3.337902349204265,0.0,0.38684684684684684
24,3.1718972190785393,0.21538283866497285,0.0689931697532021,0.21148664254369082,0.06793511130704165,3.269852603010356,0.0,0.4087270168030263
25,3.170777245168309,0.213766023790276,0.06909613340662077,0.21156363076449303,0.06849169191582948,3.2877222807536572,0.0,0.4068035604124438
26,3.1826978151381455,0.21238018246910728,0.06868008853179224,0.2096389252444376,0.06776506666429077,3.281034883607197,0.0,0.40838249537730037
27,3.178732742659613,0.20106247834622937,0.06803213069920379,0.1984756332281161,0.06717097754347937,3.3444283026192574,0.0,0.3882797051950386
28,3.181195068582942,0.1936328290410748,0.06493402809525897,0.19239356378474093,0.06486674896613029,3.2858861176838428,0.0,0.37537619699042407
29,3.1688056300329985,0.19353659006043808,0.06527950376083218,0.1931634459927631,0.0653018839622165,3.302071461536614,0.0,0.37123991195891415
30,3.163723950727786,0.22629633906917657,0.069587494858635,0.22226499345600123,0.06861732294954107,3.206136026699555,0.0,0.4351392924286447
31,3.176878120303553,0.19089964199099202,0.06366525690679323,0.19046885826468551,0.06428682264193307,3.340600736329121,0.0,0.37864872237883057
32,3.1741111826273873,0.18502906417215229,0.06340980143847881,0.1850796828085303,0.06386336631677939,3.336437742111131,0.0,0.3587552252670692
33,3.169157902985232,0.17852330908111022,0.059861798813260717,0.1784586958195396,0.061038454942384246,3.3408059753807895,0.0,0.33459859555892957
34,3.1665234327795355,0.1384878931362359,0.053325093224923036,0.141042420509662,0.05388805018548722,3.4395551023812128,0.0,0.2589213300892133
35,3.1669301764723925,0.18271932863687107,0.06254959120803558,0.18261605974285935,0.06311172701591924,3.339389438699619,0.0,0.34947999625222526
36,3.1678853561953257,0.16728259614274166,0.05996137802083534,0.16875817999846024,0.060366699443823356,3.4388808998568305,0.0,0.32794413087152013
37,3.173455659606995,0.19555760865380914,0.065076842444424,0.19300946955115866,0.06465244435280468,3.2654324241459665,0.0,0.3793949304987735
38,3.168002135308094,0.18787773799899912,0.06433403900193105,0.1869274001077835,0.0638242704303071,3.299952438312211,0.0,0.3645765998707175
39,3.1638825698259767,0.1914963236709397,0.06454322483573599,0.18939102317345446,0.06420435418425607,3.2685522625011765,0.0,0.3747602958633915
40,3.1635437399767743,0.16562728567579013,0.05666732648786703,0.16760335668642698,0.05791349415944978,3.34854685819795,0.0,0.30942662779397473
41,3.1659906763241583,0.20248681525965276,0.06691193732405873,0.20132419739779814,0.06689120018553679,3.2467274786216285,0.0,0.3847612169359935
42,3.1562677424623113,0.17361512106863763,0.06123491606371658,0.1748402494418354,0.0616169220140365,3.3427695552703782,0.0,0.33567495728118474
43,3.1675370911664,0.14251068252685067,0.05315546868406947,0.14335206713372853,0.054222399325348315,3.4402198154350807,0.0,0.2629932384700777
44,3.174879206480472,0.15361666089232784,0.05235463564120603,0.15459234737085226,0.0531367779188016,3.3596407037063187,0.0,0.27765596970300976
45,3.1582044256827375,0.18797397697963583,0.06496919288870594,0.18700438832858574,0.06398940754996706,3.312578628509503,0.0,0.36577953771065475
46,3.1615141825794137,0.18085229241251877,0.06213533507904397,0.18361690661328817,0.0640766471019393,3.306764036857436,0.0,0.3492450529869643
47,3.16969296905073,0.13421488239596566,0.050371398012780455,0.13619216259912234,0.05141791207468506,3.387663692089137,0.0,0.23558535327488397
48,3.1675749526116483,0.1363128921738461,0.051858609603233664,0.13588420971591347,0.052059398725299424,3.441336705179637,0.0,0.2509172441907868
49,3.1654589067588135,0.14252993032297803,0.05129629240388313,0.1441219493417507,0.05278875974066312,3.331579679632422,0.0,0.254220052877771
50,3.159849050774801,0.16212418678061363,0.05875439003868636,0.16336900454230502,0.0591061041494428,3.381204401330995,0.0,0.3161963664476227
