Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss
1,2.2186009668070694,0.5538360857681796,0.0,0.5449226268380938,0.0,2.198897166792395
2,2.189990419729296,0.4837356122723948,0.0,0.47671106320732926,0.0,2.1848022680858086
3,2.175228751975621,0.5485429418331601,0.0,0.5413811686811918,0.0,2.174868483261522
4,2.1704514570937956,0.4438734264926666,0.0,0.4335976595580876,0.0,2.1682197714380442
5,2.1635621457264342,0.3588944065904454,0.0,0.35391485102779274,0.0,2.1661088033556353
6,2.158955266249591,0.40980482734726875,0.0,0.4013395950419586,0.0,2.1574504255074
7,2.151289668429661,0.3052700465796666,0.0,0.3045654014935715,0.0,2.1578386660867137
8,2.149600129629591,0.27016206644339225,0.0,0.2723843251982447,0.0,2.152288144885613
9,2.1441589907325547,0.3264811179119991,0.0,0.3241204095773347,0.0,2.1426030698374574
10,2.1393374925103092,0.3272895253493475,0.0,0.3237354684733236,0.0,2.135277540959748
11,2.1309743977606,0.3473649767101667,0.0,0.3421356532450535,0.0,2.1350200590241717
12,2.1266183900128444,0.30927358817415407,0.0,0.30972361228732004,0.0,2.129606961176313
13,2.1187721689786816,0.31085190745659624,0.0,0.30225575486950496,0.0,2.113916391956395
14,2.110726025230779,0.3136813334873157,0.0,0.308645777196089,0.0,2.1053027572302985
15,2.099002881737178,0.33573930784925127,0.0,0.3336669489568096,0.0,2.0995922022558786
16,2.0971081313755127,0.2711244562497594,0.0,0.26391562091000076,0.0,2.094832957378162
17,2.0943949575641474,0.23763329098818187,0.0,0.23119562706905844,0.0,2.0892400327574445
18,2.0919068303014257,0.234726873772953,0.0,0.22857802756178305,0.0,2.0879807959636443
19,2.091248794582677,0.21509412172306272,0.0,0.20871506659481098,0.0,2.083628035971684
20,2.0851341759776836,0.2696231281518266,0.0,0.263299715143583,0.0,2.0830542285160476
21,2.084223788103153,0.24764214497440043,0.0,0.24590037724228192,0.0,2.084748638821353
22,2.079609810828869,0.1936328290410748,0.0,0.18785125875741013,0.0,2.0784805602040786
23,2.078032597495711,0.24754590599376372,0.0,0.24274386018939104,0.0,2.079404558160622
24,2.0788201360866942,0.23720983947338029,0.0,0.2319655092770806,0.0,2.0760871674039683
25,2.0747112774937024,0.1833545059090734,0.0,0.17815074293633074,0.0,2.0790657100125487
26,2.0773329864728627,0.20770296801016283,0.0,0.20016937408576488,0.0,2.0722813880795914
27,2.078721748931067,0.26427224082842515,0.0,0.2592963276618677,0.0,2.076225662025912
28,2.0763714690807418,0.25412865226931514,0.0,0.24628531834629303,0.0,2.0785423683121875
29,2.0718997758744386,0.2234284174462024,0.0,0.21849257063669258,0.0,2.0731459853097136
30,2.069547126152245,0.2783038842052585,0.0,0.27192239587343137,0.0,2.0674674544721987
31,2.069291900458007,0.286907649074181,0.0,0.279929170836862,0.0,2.068361318904191
32,2.0715596958114006,0.2063171266889941,0.0,0.19901455077373162,0.0,2.065375945104167
33,2.0706671146409854,0.23815298148362013,0.0,0.22996381553622297,0.0,2.066444677378744
34,2.0699672420770665,0.22096469954190245,0.0,0.2141042420509662,0.0,2.065950563388505
35,2.0682284589765105,0.2373830696385264,0.0,0.23096466240665178,0.0,2.0701314473680674
36,2.070462462937303,0.21971359279362512,0.0,0.21487412425898839,0.0,2.0711030921912545
37,2.0655686650516953,0.2575547599799823,0.0,0.2512895526984371,0.0,2.062467577128575
38,2.067926283870718,0.2067983215921777,0.0,0.20086226807298482,0.0,2.06297533148028
39,2.0654331785557893,0.2375178042114178,0.0,0.2291939333282008,0.0,2.0673948975619423
40,2.0658430503360155,0.24469723216691688,0.0,0.238124566941258,0.0,2.079593234314707
41,2.0655243900315514,0.2353043076567733,0.0,0.2293479097698052,0.0,2.0646704639413676
42,2.0655642060443684,0.2550332986873003,0.0,0.24736315343752405,0.0,2.0588543356345794
43,2.0642066625465314,0.2497978981406629,0.0,0.24389868350142427,0.0,2.057991376798141
44,2.061764187376781,0.22491049774800786,0.0,0.21787666487027485,0.0,2.053823857912289
45,2.0658409737894687,0.21940562805558764,0.0,0.20948494880283317,0.0,2.064939074181571
46,2.0639882893324484,0.27942025638064444,0.0,0.2746939718223112,0.0,2.0549622461419976
47,2.0581490097227944,0.26706317126688994,0.0,0.26029717453229656,0.0,2.054814253681399
48,2.0620281529690834,0.25620741425106824,0.0,0.25028870582800833,0.0,2.0585619874775705
49,2.05949821906724,0.29512645802055665,0.0,0.2915543921779968,0.0,2.055283946063131
50,2.061231283608622,0.3057319936867229,0.0,0.3031026252983294,0.0,2.058465785727712
