Epoch,Loss,Train Accuracy,Train Macro F1,Test Accuracy,Test Macro F1,Test Loss
1,1.351448622435845,0.6530969703968895,0.0,0.642774655477712,0.0,1.2687606718299425
2,1.245833827265231,0.6530969703968895,0.0,0.642774655477712,0.0,1.2664263311571675
3,1.2436887423778549,0.6530969703968895,0.0,0.642774655477712,0.0,1.2623415907175082
4,1.2416703397398952,0.6530969703968895,0.0,0.642774655477712,0.0,1.2598962282092112
5,1.2399337489726803,0.6530969703968895,0.0,0.642774655477712,0.0,1.259056704898773
6,1.237014183655308,0.6530969703968895,0.0,0.642774655477712,0.0,1.254446412395374
7,1.2338614184317624,0.6530969703968895,0.0,0.642774655477712,0.0,1.251208862207206
8,1.2305589912028,0.6530969703968895,0.0,0.642774655477712,0.0,1.2490645560431364
9,1.2272111275164512,0.6530969703968895,0.0,0.642774655477712,0.0,1.2438088741722366
10,1.2240797939613974,0.6530969703968895,0.0,0.642774655477712,0.0,1.240525746066582
11,1.221121337677678,0.6530969703968895,0.0,0.642774655477712,0.0,1.2427903907052402
12,1.21913824493772,0.6530969703968895,0.0,0.642774655477712,0.0,1.240942130241488
13,1.216822246172158,0.6530969703968895,0.0,0.642774655477712,0.0,1.2350799765052467
14,1.2153502105290226,0.6530969703968895,0.0,0.642774655477712,0.0,1.2342410962202865
15,1.2141519922377735,0.6530969703968895,0.0,0.642774655477712,0.0,1.2337324793996483
16,1.212347519762924,0.6530969703968895,0.0,0.642774655477712,0.0,1.2334660424534323
17,1.2115281227554007,0.6530969703968895,0.0,0.642774655477712,0.0,1.2357366572459931
18,1.2102503325294685,0.6530969703968895,0.0,0.642774655477712,0.0,1.2323931021423176
19,1.2092096800892957,0.6530969703968895,0.0,0.642774655477712,0.0,1.2298933705819652
20,1.2085723365505634,0.6530969703968895,0.0,0.642774655477712,0.0,1.2332299533735942
21,1.207450203680126,0.6530969703968895,0.0,0.642774655477712,0.0,1.233213821068186
22,1.206882252362488,0.6530969703968895,0.0,0.642774655477712,0.0,1.2348337057482432
23,1.2055917172027486,0.6530969703968895,0.0,0.642774655477712,0.0,1.233153660969781
24,1.204835778496829,0.6530969703968895,0.0,0.642774655477712,0.0,1.2300061648849197
25,1.2040098178581211,0.6530969703968895,0.0,0.642774655477712,0.0,1.23683854218187
26,1.2032126069821307,0.6530969703968895,0.0,0.642774655477712,0.0,1.2269995741069024
27,1.2028077188145203,0.6530969703968895,0.0,0.642774655477712,0.0,1.2346430085415911
28,1.2026114783942552,0.6530969703968895,0.0,0.642774655477712,0.0,1.2351733310322457
29,1.2012231635489488,0.6530969703968895,0.0,0.642774655477712,0.0,1.2303113036701832
30,1.2005478467957433,0.6530969703968895,0.0,0.642774655477712,0.0,1.225903958155604
31,1.1997013714788436,0.6530969703968895,0.0,0.642774655477712,0.0,1.2328855860703096
32,1.1983888976349326,0.6530969703968895,0.0,0.642774655477712,0.0,1.2506411162943676
33,1.1982737377726387,0.6530969703968895,0.0,0.642774655477712,0.0,1.2360455382780489
34,1.1976077338781557,0.6530969703968895,0.0,0.642774655477712,0.0,1.2317977183558084
35,1.1972954087326386,0.6530969703968895,0.0,0.642774655477712,0.0,1.2359267902638524
36,1.196192273769179,0.6530584748046349,0.0,0.6426976672569097,0.0,1.2371865323758477
37,1.1963087648171655,0.6530969703968895,0.0,0.642774655477712,0.0,1.2293882921264676
38,1.1949469408598439,0.6528275012511068,0.0,0.6425436908153053,0.0,1.237625473091755
39,1.194314481800633,0.6529044924356161,0.0,0.6426976672569097,0.0,1.2400967052270626
40,1.1934851387176166,0.6515378989105748,0.0,0.6415428439448765,0.0,1.2513762001920803
41,1.1929366256619616,0.6518073680563575,0.0,0.6417738086072831,0.0,1.2360981986146842
42,1.1927816837732428,0.6475151095199599,0.0,0.6383863268919855,0.0,1.242280283144542
43,1.1916075396750654,0.652789005658852,0.0,0.6425436908153053,0.0,1.2342917525709556
44,1.1921248469648544,0.6509412172306271,0.0,0.6410809146200631,0.0,1.236395619552711
45,1.1915803426151792,0.6509412172306271,0.0,0.6408499499576564,0.0,1.240241454152638
46,1.1905217425613275,0.6505562613080802,0.0,0.6410809146200631,0.0,1.2492945520161407
47,1.1906588159850224,0.6507294914732263,0.0,0.641003926399261,0.0,1.2387852106481938
48,1.1896341627032445,0.6458020556646265,0.0,0.635691739163908,0.0,1.2510441623885056
49,1.1888293014389688,0.6481117911999076,0.0,0.6382323504503811,0.0,1.2427197343903809
50,1.1887052541167424,0.6474766139277053,0.0,0.6380783740087766,0.0,1.253132196042338
